SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
040,3,5,10,Delaware,897934,897936,899791,907916,917099,925353,935968,945934,1855,8125,9183,8254,10615,9966,2847,11299,11158,10890,10927,11033,1842,7875,7698,8098,8227,8445,1005,3424,3460,2792,2700,2588,536,2228,2524,2552,2922,2953,269,2592,3280,2920,4752,4225,805,4820,5804,5472,7674,7178,45,-119,-81,-10,241,200,12.500919673,12.227844703,11.821203483,11.741123643,11.725371459,8.7126951436,8.4360950458,8.79045967,8.8399582877,8.9749625645,3.7882245297,3.7917496569,3.0307438131,2.9011653551,2.7504088948,2.4650012419,2.766004663,2.7702214223,3.1397056177,3.1383143224,2.867721373,3.5944910042,3.1696890882,5.1060510251,4.4901381687,5.3327226149,6.3604956672,5.9399105106,8.2457566427,7.6284524911
040,3,5,11,District of Columbia,601723,601767,605126,620472,635342,649540,659836,672228,3359,15346,14870,14198,10296,12392,2243,9196,9234,9447,9415,9593,1180,4671,4537,4809,5030,5218,1063,4525,4697,4638,4385,4375,734,3351,3717,3968,4516,4551,1424,7084,6312,6076,969,3731,2158,10435,10029,10044,5485,8282,138,386,144,-484,426,-265,15.006551904,14.705999455,14.704852274,14.380895938,14.403211858,7.6224014726,7.225592325,7.4855122883,7.6830490249,7.8344584044,7.3841504311,7.4804071304,7.2193399861,6.6978469133,6.5687534533,5.4683509601,5.9196664474,6.1764426617,6.8979422259,6.8330050208,11.560071084,10.052444072,9.4576778257,1.480094335,5.601832945,17.028422044,15.97211052,15.634120487,8.3780365609,12.434837966
040,3,5,12,Florida,18801310,18804623,18849890,19105533,19352021,19594467,19905569,20271272,45267,255643,246488,242446,311102,365703,50872,213217,214036,213004,218088,220628,41790,174504,173736,181616,187736,190735,9082,38713,40300,31388,30352,29893,24137,110220,106486,111357,128770,129525,12076,105446,98801,94395,137432,202510,36213,215666,205287,205752,266202,332035,-28,1264,901,5306,14548,3775,11.235127059,11.13102513,10.938290508,11.042420316,10.98284457,9.1952077573,9.0352080114,9.3264378549,9.5056115898,9.4947733696,2.0399193022,2.0958171183,1.6118526528,1.5368087259,1.4880712,5.8078657166,5.5378456987,5.7184617006,6.5199940577,6.447744361,5.556307461,5.1381842953,4.8474203887,6.9585759365,10.080931948,11.364173178,10.676029994,10.565882089,13.478569994,16.528676309
040,3,5,13,Georgia,9687653,9688681,9713454,9812280,9917639,9991562,10097132,10214860,24773,98826,105359,73923,105570,117728,32489,132615,131887,128673,129722,130592,17202,71077,70395,74792,76120,77052,15287,61538,61492,53881,53602,53540,5311,22187,25253,24827,28252,29141,3708,10901,17955,-6046,21962,34013,9019,33088,43208,18781,50214,63154,467,4200,659,1261,1754,1034,13.583612273,13.36923887,12.925983318,12.914926177,12.858610815,7.2803409081,7.1358630514,7.513310052,7.5783921045,7.5868482028,6.3032713649,6.2333758187,5.412673266,5.3365340723,5.271762612,2.2725906232,2.5598685935,2.4940227385,2.8127264022,2.8693394523,1.116577743,1.8200784301,-0.607357372,2.1865035129,3.349056065,3.3891683662,4.3799470236,1.8866653664,4.9992299151,6.2183955173
040,4,9,15,Hawaii,1360301,1360301,1363980,1378227,1392641,1408765,1420257,1431603,3679,14247,14414,16124,11492,11346,4646,19153,18891,19037,19021,19298,2532,10084,10247,10338,11601,11684,2114,9069,8644,8699,7420,7614,2001,6805,9441,8899,9508,10128,-425,-999,-3541,-1455,-4977,-7026,1576,5806,5900,7444,4531,3102,-11,-628,-130,-19,-459,630,13.969040266,13.635438426,13.591032503,13.447049899,13.53362367,7.3546599509,7.3962382907,7.380579609,8.2014208444,8.1939506147,6.6143803148,6.2392001351,6.210452894,5.2456290548,5.3396730555,4.9631555896,6.8144711332,6.3532383382,6.7217575544,7.1027329532,-0.728610203,-2.555877797,-1.038764106,-3.518530432,-4.927310597,4.2345453863,4.2585933361,5.3144742319,3.2032271223,2.1754223559
040,4,8,16,Idaho,1567582,1567652,1570986,1584134,1596097,1612785,1634806,1654930,3334,13148,11963,16688,22021,20124,5971,22955,22364,22705,22487,22751,2571,11884,11895,12299,12045,11826,3400,11071,10469,10406,10442,10925,361,1401,1750,1830,2130,2217,-377,111,-255,5004,8425,6880,-16,1512,1495,6834,10555,9097,-50,565,-1,-552,1024,102,14.550952103,14.064387147,14.15134617,13.84841872,13.83150502,7.5331524633,7.4805886742,7.6655981741,7.4178059984,7.1896346698,7.01779964,6.5837984725,6.4857479957,6.4306127219,6.6418703507,0.8880803266,1.1005489853,1.1405841661,1.311741534,1.3478285188,0.0703618246,-0.160365709,3.1188432607,5.1884612317,4.1827064543,0.9584421512,0.940183276,4.2594274267,6.5002027657,5.530534973
040,2,3,17,Illinois,12830632,12831549,12841249,12861882,12875167,12889580,12882189,12859995,9700,20633,13285,14413,-7391,-22194,41836,162427,160140,157510,156913,156440,24062,101613,101296,104306,103836,104233,17774,60814,58844,53204,53077,52207,5605,28568,29419,31930,37162,37682,-13494,-67385,-74704,-68392,-96762,-105217,-7889,-38817,-45285,-36462,-59600,-67535,-185,-1364,-274,-2329,-868,-6866,12.638693706,12.44431714,12.22678414,12.17712296,12.154368876,7.9066631999,7.8716095229,8.0967998638,8.0581197201,8.0982250768,4.7320305063,4.5727076169,4.1299842766,4.1190032396,4.0561437988,2.2229198458,2.2861206815,2.4785805193,2.8839308625,2.9276459216,-5.243330083,-5.805172147,-5.308959564,-7.509146927,-8.174675467,-3.020410237,-3.519051465,-2.830379045,-4.625216065,-5.247029545
040,2,3,18,Indiana,6483802,6484229,6490590,6516845,6538283,6570518,6597880,6619680,6361,26255,21438,32235,27362,21800,20961,83457,83060,83376,83284,83796,13869,57892,58625,60701,59222,58536,7092,25565,24435,22675,24062,25260,2197,9439,9877,10874,12513,12574,-2954,-8413,-12795,-762,-7506,-14881,-757,1026,-2918,10112,5007,-2307,26,-336,-79,-552,-1707,-1153,12.832199431,12.72450182,12.720614189,12.649070904,12.679496064,8.9013706392,8.9811451868,9.2611063361,8.9945641072,8.8573080054,3.9308287914,3.7433566335,3.4595078528,3.6545067973,3.8221880589,1.4513238006,1.5131218936,1.6590380768,1.9004589624,1.9026204534,-1.293567871,-1.960149299,-0.116257772,-1.140001996,-2.251701524,0.1577559296,-0.447027406,1.5427803046,0.7604569667,-0.349081071
040,2,4,19,Iowa,3046355,3046869,3050694,3065389,3076636,3092224,3109481,3123899,3825,14695,11247,15588,17257,14418,9967,37856,38471,38805,39366,39470,6870,28207,28049,29141,27921,27728,3097,9649,10422,9664,11445,11742,988,4840,5090,5559,6394,6409,-160,404,-4282,614,203,-3949,828,5244,808,6173,6597,2460,-100,-198,17,-249,-785,216,12.3791649,12.527138851,12.580930674,12.695218492,12.664076312,9.2238774392,9.1334698247,9.4477747915,9.0042980116,8.8966178863,3.1552874609,3.3936690261,3.1331558829,3.6909204807,3.7674584254,1.582712334,1.6574338268,1.8022778925,2.0620135914,2.0563482412,0.132110699,-1.394328418,0.1990643328,0.0654658679,-1.267049338,1.714823033,0.263105409,2.0013422253,2.1274794593,0.7892989036
040,2,4,20,Kansas,2853118,2853132,2858824,2869917,2886281,2894630,2902507,2911641,5692,11093,16364,8349,7877,9134,9992,40118,39590,39716,38955,38954,5995,25177,24966,25594,24367,24141,3997,14941,14624,14122,14588,14813,1304,5040,6775,6377,7035,7317,492,-8985,-5069,-12313,-13692,-13030,1796,-3945,1706,-5936,-6657,-5713,-101,97,34,163,-54,34,14.005869702,13.755607434,13.740394896,13.439392583,13.399727699,8.789714878,8.6744757564,8.8546597586,8.4065634467,8.3042261738,5.2161548235,5.0811316775,4.8857351376,5.0328291362,5.0955015249,1.7595489131,2.3539843487,2.2062266657,2.4270601161,2.5169637925,-3.136814878,-1.76123198,-4.259882223,-4.723711032,-4.482170045,-1.377265965,0.5927523688,-2.053655557,-2.296650916,-1.965206252
